StartDate,EndDate,ISRC,UPC,CountryCode,Country,StoreName,ArtistName,ReleaseTitle,TrackTitle,Label,UnitPrice,Units,Earnings,DateImported
2018-12-30,2019-02-02,GB5HY1100281,5055506320201,CA,Canada,iTunes Match,Mario Basanov feat. Miss Bee,Just think about,Just Think About,Under the shade,0.000382667,1,0.000382667,2019-03-27
2018-12-30,2019-02-02,GB5HY1100232,5055400867437,US,United States of America,iTunes Match,Rampi featuring Miss Bee,Feel it burn,Feel it burn,Under the shade,0.000417128,1,0.000417128,2019-03-27
2018-12-30,2019-02-02,GB5HY1100231,5055400867437,US,United States of America,iTunes Match,Rampi featuring Miss Bee,Feel it burn,Feel it burn,Under the shade,0.000417128,2,0.000834256,2019-03-27
2018-12-02,2018-12-29,GB5HY1100283,5055506320201,TR,Turkey,iTunes Match,Mario Basanov feat. Miss Bee,Just think about,Just Think About,Under the shade,3.7816E-05,1,3.7816E-05,2019-03-11
2018-12-01,2018-12-31,QMEZE1867185,5055610744122,US,United States of America,YouTube Content ID,Bonar Bradberry,Loose Grip,,Under the shade,0.010674904,4,0.042699616,2019-03-14
2018-12-01,2018-12-31,QMEZE1867185,5055610744122,US,United States of America,YouTube Content ID,Bonar Bradberry,Loose Grip,,Under the shade,0.010676219,2,0.021352438,2019-03-14
2018-12-28,2019-01-31,GBLFP1234621,5055610744122,RU,Russian Federation,Apple Music,Bonar Bradberry,Loose Grip,Guess who (No Regular Play remix),Under the shade,0.004096923,2,0.008193846,2019-03-30
2018-12-28,2019-01-31,GBLFP1234621,5055610744122,ZA,South Africa,Apple Music,Bonar Bradberry,Loose Grip,Guess who (No Regular Play remix),Under the shade,0.002202456,1,0.002202456,2019-03-30
2018-12-30,2019-02-02,GBLFP1234620,5055610744122,BE,Belgium,iTunes Match,Bonar Bradberry,Loose Grip,Guess Who,Under the shade,0.000635665,2,0.00127133,2019-03-26
2018-12-30,2019-02-02,GB5HY1100243,5055400884144,US,United States of America,iTunes Match,Native Underground,Night vision,"UTS024 B1 - Night Vision, Iron Curtis Mix",Under the shade,0.000417128,2,0.000834256,2019-03-27
2018-12-02,2018-12-29,GB5HY1100231,5055400867437,US,United States of America,iTunes Match,Rampi featuring Miss Bee,Feel it burn,Feel it burn,Under the shade,0.000452727,3,0.001358181,2019-03-11
2018-12-02,2018-12-29,GB5HY1100234,5055400867437,NL,Netherlands,iTunes Match,Rampi featuring Miss Bee,Feel it burn,Panzerotti,Under the shade,0.000828214,1,0.000828214,2019-03-11
2018-12-02,2018-12-29,GB5HY1100231,5055400867437,FR,France,iTunes Match,Rampi featuring Miss Bee,Feel it burn,Feel it burn,Under the shade,0.000330272,1,0.000330272,2019-03-11
2018-12-02,2018-12-29,GB5HY1100281,5055506320201,GB,United Kingdom,iTunes Match,Mario Basanov feat. Miss Bee,Just think about,Just Think About,Under the shade,0.000532666,1,0.000532666,2019-03-11
2018-12-01,2018-12-31,QMEZE1867185,5055610744122,CA,Canada,YouTube Content ID,Bonar Bradberry,Loose Grip,,Under the shade,0.002724004,1,0.002724004,2019-03-14
2018-12-01,2018-12-31,QMEZE1867185,5055610744122,RU,Russian Federation,YouTube Content ID,Bonar Bradberry,Loose Grip,,Under the shade,0.004855867,1,0.004855867,2019-03-14
2018-12-01,2018-12-31,QMEZE1867185,5055610744122,US,United States of America,YouTube Content ID,Bonar Bradberry,Loose Grip,,Under the shade,0.010676594,1,0.010676594,2019-03-14
2018-12-28,2019-01-31,GBLFP1234622,5055610744122,RU,Russian Federation,Apple Music,Bonar Bradberry,Loose Grip,Loose Grip,Under the shade,0.00255622,7,0.01789354,2019-03-30
2018-12-30,2019-02-02,GB5HY1100232,5055400867437,CH,Switzerland,iTunes Match,Rampi featuring Miss Bee,Feel it burn,Feel it burn,Under the shade,0.001038012,1,0.001038012,2019-03-26
2018-12-30,2019-02-02,GB5HY1100281,5055506320201,DK,Denmark,iTunes Match,Mario Basanov feat. Miss Bee,Just think about,Just Think About,Under the shade,0.000374392,3,0.001123176,2019-03-26
2018-12-30,2019-02-02,GB5HY1100282,5055506320201,DE,Germany,iTunes Match,Mario Basanov feat. Miss Bee,Just think about,Just Think About,Under the shade,0.000643231,5,0.003216155,2019-03-26
2018-12-30,2019-02-02,GB5HY1100243,5055400884144,JP,Japan,iTunes Match,Native Underground,Night vision,"UTS024 B1 - Night Vision, Iron Curtis Mix",Under the shade,0.000517909,1,0.000517909,2019-03-26
2018-12-30,2019-02-02,GB5HY1100231,5055400867437,JP,Japan,iTunes Match,Rampi featuring Miss Bee,Feel it burn,Feel it burn,Under the shade,0.000517909,1,0.000517909,2019-03-26
2018-12-30,2019-02-02,GBLFP1234622,5055610744122,RU,Russian Federation,iTunes Match,Bonar Bradberry,Loose Grip,Loose Grip,Under the shade,6.93009E-05,1,6.93009E-05,2019-03-26
2018-12-30,2019-02-02,GB5HY1100233,5055400867437,US,United States of America,iTunes Match,Rampi featuring Miss Bee,Feel it burn,Feel it burn,Under the shade,0.000417128,2,0.000834256,2019-03-27
